Famille;Nom;Energie (kcal/100g);Protéines (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Eau (g/100g);;Portion (g) ;Energie (kcal/portion);Protéines (g/portion);Glucides (g/portion);Lipides (g/portion);Eau (g/portion)
Pizzas, crêpes et tartes salées;Quiche lorraine;292;10,5;22,2;18,7;1,7;52,1;;300;876;31,5;66,6;56,1;156,3
Pizzas, crêpes et tartes salées;Tarte au fromage;263;10,4;19,8;15,6;2,19;51,5;;300;789;31,2;59,4;46,8;154,5
Pizzas, crêpes et tartes salées;Tarte aux légumes;237;8,7;16,4;14,8;2,18;56,4;;300;711;26,1;49,2;44,4;169,2
Pizzas, crêpes et tartes salées;Tarte aux poireaux;257;5,44;21,3;16,2;0;53,4;;300;771;16,32;63,9;48,6;160,2
Pizzas, crêpes et tartes salées;Tarte provençale à la tomate;218;5,4;18,9;12,7;2,89;57,9;;300;654;16,2;56,7;38,1;173,7
Pizzas, crêpes et tartes salées;Tarte saumon et oseille;230;7,08;19,5;13,5;1,95;57,4;;300;690;21,24;58,5;40,5;172,2
Pizzas, crêpes et tartes salées;Tourte aux poireaux;258;5,38;22;16,1;2,02;53;;300;774;16,14;66;48,3;159
Plats à base de céréales ou pâtes;Cannelloni à la viande;154;9,55;15,5;5,73;1,15;67,2;;300;462;28,65;46,5;17,19;201,6
Plats à base de céréales ou pâtes;Couscous à la viande;152;6,7;17,2;5,78;0;66,9;;300;456;20,1;51,6;17,34;200,7
Plats à base de céréales ou pâtes;Couscous au poulet;158;7,4;17,4;6,21;0,94;66,9;;300;474;22,2;52,2;18,63;200,7
Plats à base de céréales ou pâtes;Couscous mouton;148;8,3;15,9;5,4;1,4;67,7;;300;444;24,9;47,7;16,2;203,1
Plats à base de céréales ou pâtes;Couscous royal à la viande;149;8,3;15,1;5,67;0,956;67,5;;300;447;24,9;45,3;17,01;202,5
Plats à base de céréales ou pâtes;Gratin de pâtes;150;7,9;12,6;7,34;1,88;69,5;;300;450;23,7;37,8;22,02;208,5
Plats à base de céréales ou pâtes;Lasagnes à la bolognaise;140;6,85;12,9;6,65;3,03;71,5;;300;420;20,55;38,7;19,95;214,5
Plats à base de céréales ou pâtes;Paella;169;8,85;22,4;4,64;0,725;61,6;;300;507;26,55;67,2;13,92;184,8
Plats à base de céréales ou pâtes;Pâtes à la bolognaise (spaghetti, tagliatelles…);137;5,91;16,9;4,83;2,62;69,9;;300;411;17,73;50,7;14,49;209,7
Plats à base de céréales ou pâtes;Pâtes à la carbonara (spaghetti, tagliatelles…)bi;166;6,33;17,7;7,72;0,74;67;;300;498;18,99;53,1;23,16;201
Plats à base de céréales ou pâtes;Ravioli à la viande, sauce tomate;97,4;3;13,5;3,17;2,57;77,4;;300;292,2;9;40,5;9,51;232,2
Plats à base de céréales ou pâtes;Ravioli frais au fromage, cuit;209;8,6;27,7;6,5;0,8;53,1;;300;627;25,8;83,1;19,5;159,3
Plats à base de céréales ou pâtes;Riz cantonnais;141;5,2;21,1;3,69;1,24;67,7;;300;423;15,6;63,3;11,07;203,1
Plats à base de céréales ou pâtes;Spaghetti, sauce tomate;67,4;1,9;12,6;0,4;5,04;81,9;;300;202,2;5,7;37,8;1,2;245,7
Plats à base de fromage;Feuilleté ou Friand au fromage;332;7,22;27,5;20,6;5,88;39,3;;300;996;21,66;82,5;61,8;117,9
Plats à base de fromage;Feuilleté ou Friand béchamel jambon fromage;347;9,4;30,7;20,5;2,37;36,4;;300;1041;28,2;92,1;61,5;109,2
Plats à base de fromage;Fondue savoyarde;234;16,2;2,31;16,6;0,233;59,9;;300;702;48,6;6,93;49,8;179,7
Plats à base de fromage;Fromage pané;293;13,5;18;18,4;0,6;46,1;;300;879;40,5;54;55,2;138,3
Plats à base de fromage;Fromage pané au jambon;227;17,4;14,9;10,8;1,5;52,8;;300;681;52,2;44,7;32,4;158,4
Plats à base de fromage;Gougère, faite maison;424;14,2;21,4;31,1;0,7;30;;300;1272;42,6;64,2;93,3;90
Plats à base de fromage;Soufflé au fromage;198;9,9;7,43;14,2;2,5;67,3;;300;594;29,7;22,29;42,6;201,9
Plats à base de fromage;Tartiflette;144;4,67;12,5;8,2;0,968;72,1;;300;432;14,01;37,5;24,6;216,3
Plats à base de légumes ou légumineuses;Beignet de légumes, fait maison;161;4,18;12,9;9,89;2,18;69,9;;300;483;12,54;38,7;29,67;209,7
Plats à base de légumes ou légumineuses;Choucroute garnie;110;4,6;1,6;9,22;0;82;;300;330;13,8;4,8;27,66;246
Plats à base de légumes ou légumineuses;Choucroute, sans jus;31,4;1,5;5,25;0,25;4;91;;300;94,2;4,5;15,75;0,75;273
Plats à base de légumes ou légumineuses;Escalope végétale ou Steak à base de soja;177;16,5;5,49;8;0;61,2;;300;531;49,5;16,47;24;183,6
Plats à base de légumes ou légumineuses;Gratin dauphinois;110;3,07;12,3;4,95;1,63;76,2;;300;330;9,21;36,9;14,85;228,6
Plats à base de légumes ou légumineuses;Gratin de chou0fleur;89,9;4,01;3,92;5,8;0;82,1;;300;269,7;12,03;11,76;17,4;246,3
Plats à base de légumes ou légumineuses;Gratin de légumes;107;3,2;3,44;8,51;1,87;82;;300;321;9,6;10,32;25,53;246
Plats à base de légumes ou légumineuses;Ratatouille niçoise;72,1;1,2;4,77;4,98;0;86,3;;300;216,3;3,6;14,31;14,94;258,9
Plats à base de légumes ou légumineuses;Terrine ou mousse de légumes;134;6,8;5,55;9;0,2;75,9;;300;402;20,4;16,65;27;227,7
Plats à base de légumes ou légumineuses;Tomate à la provençale;77,6;1,75;6,92;4,32;3,8;83,6;;300;232,8;5,25;20,76;12,96;250,8
Plats à base de poisson ou produits aquatiques;Accra de morue;259;10;17,7;16,1;1,57;52,4;;300;777;30;53,1;48,3;157,2
Plats à base de poisson ou produits aquatiques;Beignet de crevette;342;8,6;33,1;19,1;0;35,1;;300;1026;25,8;99,3;57,3;105,3
Plats à base de poisson ou produits aquatiques;Bouchée à la reine, au poisson et fruits de mer;208;6,76;13,7;13,8;2,44;63,1;;300;624;20,28;41,1;41,4;189,3
Plats à base de poisson ou produits aquatiques;Brochette de crevettes;110;16,2;1,42;4,37;1,19;75;;300;330;48,6;4,26;13,11;225
Plats à base de poisson ou produits aquatiques;Brochette de poisson;128;18;0,941;5,71;0,863;73,8;;300;384;54;2,823;17,13;221,4
Plats à base de poisson ou produits aquatiques;Calmar ou Calamar ou encornet, à la romaine (beignet);220;10,6;17,8;11,5;0;56,1;;300;660;31,8;53,4;34,5;168,3
Plats à base de poisson ou produits aquatiques;Calmars ou Calamars au riz;101;6,1;11,3;3,3;0;76,7;;300;303;18,3;33,9;9,9;230,1
Plats à base de poisson ou produits aquatiques;Carpaccio de saumon;237;16,9;0;18,8;0;64,3;;300;711;50,7;0;56,4;192,9
Plats à base de poisson ou produits aquatiques;Feuilleté au saumon;283;9,6;20,5;17,1;1,4;46,9;;300;849;28,8;61,5;51,3;140,7
Plats à base de poisson ou produits aquatiques;Gratin de poisson et purée ou Brandade;115;3,8;14,1;4,55;0;74,9;;300;345;11,4;42,3;13,65;224,7
Plats à base de poisson ou produits aquatiques;Poisson (colin d'Alaska) sauce oseille;95;8,9;2,9;5,22;0,78;82;;300;285;26,7;8,7;15,66;246
Plats à base de poisson ou produits aquatiques;Poisson à la bordelaise;172;14,8;4,3;10,4;0;67,5;;300;516;44,4;12,9;31,2;202,5
Plats à base de poisson ou produits aquatiques;Poisson à la provençale;70,3;9,3;2,9;2,3;0;83,6;;300;210,9;27,9;8,7;6,9;250,8
Plats à base de poisson ou produits aquatiques;Quenelle de poisson, cuite;241;9,16;21,3;13,1;0;54,6;;300;723;27,48;63,9;39,3;163,8
Plats à base de viande ou volaille;Blanquette de veau;115;13,9;3,06;5,1;1;76,4;;300;345;41,7;9,18;15,3;229,2
Plats à base de viande ou volaille;Blanquette de veau et riz;137;7,76;12,7;5,71;0;71;;300;411;23,28;38,1;17,13;213
Plats à base de viande ou volaille;Boeuf aux carottes;84,9;10,2;1,08;4,18;0,196;79,9;;300;254,7;30,6;3,24;12,54;239,7
Plats à base de viande ou volaille;Boeuf bourguignon;101;6,7;11,1;3,33;0,3;77,5;;300;303;20,1;33,3;9,99;232,5
Plats à base de viande ou volaille;Boeuf, boulettes cuites;202;15,2;5,08;13,3;0,944;63,8;;300;606;45,6;15,24;39,9;191,4
Plats à base de viande ou volaille;Bouchée à la reine, au poulet;258;7,1;19;16,8;2;55,4;;300;774;21,3;57;50,4;166,2
Plats à base de viande ou volaille;Brochette d'agneau;150;13,5;2,7;9,34;1,57;72,8;;300;450;40,5;8,1;28,02;218,4
Plats à base de viande ou volaille;Brochette de boeuf;217;18,9;2,24;14,6;1,01;62,6;;300;651;56,7;6,72;43,8;187,8
Plats à base de viande ou volaille;Brochette de volaille;201;19,7;1,13;13;1,01;64,2;;300;603;59,1;3,39;39;192,6
