Famille;Nom;Portion (g);Energie (kcal/portion);Protéines (g/portion);Glucides (g/portion);Lipides (g/portion);Eau (g/portion)
Gâteaux et pâtisseries;Galette des rois feuilletée, fourrée frangipane;100;456;8,8;35,7;30,4;21,9
Gâteaux et pâtisseries;Gâteau au chocolat;100;403;6,04;44,6;21,8;24,3
Gâteaux et pâtisseries;Gâteau au fromage blanc;100;220;8,4;34,3;5,3;50,6
Gâteaux et pâtisseries;Gâteau au fromage frais ou Cheese0cake;100;350;5,16;31,1;22,5;39,2
Gâteaux et pâtisseries;Gâteau mi0cuit au chocolat ou Moelleux au chocolat;100;459;6,58;45,5;27,5;17,7
Gâteaux et pâtisseries;Gâteau moelleux fourré au chocolat multicouche;100;429;5,46;52,4;21,8;17,7
Gâteaux et pâtisseries;Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait;100;425;5,3;54,7;20,4;17
Gâteaux et pâtisseries;Gâteau moelleux fourré aux fruits type mini0roulé ou mini0cake fourré;100;391;4,79;65,5;11,5;14,4
Gâteaux et pâtisseries;Gâteau mousse de fruits sur génoise, type miroir;100;270;3,87;34,3;13;48,4
Gâteaux et pâtisseries;Gaufre bruxelloise ou liégeoise, avec ou sans chocolat, préemballée;100;445;7,19;58,1;20;11,7
Gâteaux et pâtisseries;Macaron moelleux fourré à la confiture ou à la crème;100;436;8,55;58,7;17,9;10,9
Gâteaux et pâtisseries;Madeleine;100;447;6,7;54,2;22,2;14
Gâteaux et pâtisseries;Mille0feuille;100;293;4,2;39,4;13,1;42,4
Gâteaux et pâtisseries;Pain d'épices;100;326;2,98;71,7;2,39;19,4
Gâteaux et pâtisseries;Quatre0quarts ou barre pâtissière, préemballé;100;433;5,73;48;23,7;18,4
Gâteaux et pâtisseries;Rocher coco ou Congolais (petit gâteau à la noix de coco);100;486;5,45;45,6;29,6;10,8
Gâteaux et pâtisseries;Tarte à la crème;100;291;5,9;29;16,8;48
Gâteaux et pâtisseries;Tarte au citron;100;382;5;42,7;20,9;29,1
Gâteaux et pâtisseries;Tarte aux abricots;100;237;3,18;29;10,7;50,5
Gâteaux et pâtisseries;Tarte aux fraises;100;236;3,2;31,1;10,7;53
Gâteaux et pâtisseries;Tarte aux fruits rouges;100;227;3,5;35,5;6,87;49,1
Gâteaux et pâtisseries;Tarte ou tartelette aux fruits;100;278;3,6;37;12,5;45
Gâteaux et pâtisseries;Tarte ou tartelette aux pommes;100;281;3,5;37,6;11,6;40,2
Jus et nectars;Abricot, nectar;200;115,2;0,82;25,8;0,17;169,8
Jus et nectars;Ananas, jus à base de concentré;200;95,6;0,704;21,2;0,2;176,6
Jus et nectars;Ananas, pur jus;200;97;0,6;23,2;0,2;172,6
Jus et nectars;Carotte, pur jus;200;53,2;1,634;10,18;0,2;184,6
Jus et nectars;Citron vert, pur jus;200;48,4;0,5;2,98;0,46;185
Jus et nectars;Citron, jus pressé maison;200;55,2;0,634;5,5;0,16;183,4
Jus et nectars;Clémentine/mandarine, pur jus;200;102,8;1,22;23,4;0,25;176
Jus et nectars;Fruit de la passion ou Maracuja, nectar;200;97,6;0,4;20,4;0,2;174
Jus et nectars;Jus multifruit 0 base orange, multivitaminé;200;93,8;0,98;20,4;0,2;174,8
Jus et nectars;Jus multifruit 0 base orange, standard;200;84,4;1,4;18;0,2;177,2
Jus et nectars;Jus multifruit 0 base pomme, multivitaminé;200;90,8;0,664;20,2;0,8;176,4
Jus et nectars;Jus multifruit 0 base pomme, standard;200;94,8;0,664;21,2;0,8;175,6
Jus et nectars;Jus multifruit, à base de concentré;200;95,8;0,88;21,4;0,2;175,6
Jus et nectars;Jus multifruit, pur jus, multivitaminé;200;93;0,8;21,2;0,2;175,4
Jus et nectars;Jus multifruit, pur jus, standard;200;101,4;0,88;23,2;0,2;174
Jus et nectars;Mangue, jus frais;200;81,2;0,4;19;0,4;172
Jus et nectars;Mangue, nectar;200;123,4;0,4;28,8;0,4;168,6
Jus et nectars;Nectar multifruit 0 base orange, multivitaminé;200;89,8;0,8;20,6;0,2;176,2
Jus et nectars;Nectar multifruit 0 base orange, standard;200;96,2;0,8;22;0,2;174,8
Jus et nectars;Nectar multifruit 0 base pomme, multivitaminé;200;89,2;0,2;19,9;0,8;177,4
Jus et nectars;Nectar multifruit 0 base pomme, standard;200;88;0,56;19,24;0,8;177,4
Jus et nectars;Nectar multifruit, multivitaminé;200;92;0,58;21;0,2;175,8
Jus et nectars;Nectar multifruit, standard;200;110,4;0,544;25,8;0,18;171,8
Jus et nectars;"Noix de coco, ""lait""";200;384;4,04;12,66;35,2;145,8
Jus et nectars;Noix de coco, eau;200;39,6;1,02;7,82;0,4;190
Jus et nectars;Orange, jus à base de concentré;200;84,8;1,42;17,7;0,5;177,4
Jus et nectars;Orange, jus pressé maison;200;87;1,266;18,6;0,266;177,2
Jus et nectars;Orange, nectar;200;77,6;0,7;16,78;0,2;179,2
Jus et nectars;Orange, pur jus;200;87,4;1,416;18,78;0,1908;176,4
Jus et nectars;Pamplemousse (pomélo), jus à base de concentré;200;73,4;1,014;15,18;0,2;179,8
Jus et nectars;Pamplemousse (pomélo), jus frais;200;76,8;0,8;16,08;0,1;179,8
Jus et nectars;Pamplemousse (pomélo), pur jus;200;75;1,24;17;0,2;177,8
Jus et nectars;Poire, nectar;200;125;0,274;29,6;0,0734;167,8
Jus et nectars;Pomme, jus à base de concentré;200;85,2;0,14;19,92;0,46;178
Jus et nectars;Pomme, nectar;200;78;0,2;17,4;0,8;180,4
Jus et nectars;Pomme, pur jus;200;84,8;0,2;19,9;0,2;176,8
Jus et nectars;Raisin, pur jus;200;136,2;0,36;32,2;0,2;165,2
Jus et nectars;Tomate, pur jus;200;41,6;1,46;7,72;0,0666;187
Laits;Boisson lactée aromatisée à la fraise, au lait partiellement écrémé;150;78,3;3,3;14,73;0,7125;130,35
Laits;Boisson lactée aromatisée au chocolat, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux;150;102,15;5,4;16,2;1,605;124,95
Laits;Lait concentré non sucré, entier;150;298,5;11,025;38,4;11,295;87,15
Laits;Lait concentré sucré, entier;150;495;11,55;83,85;12,705;39,3
Laits;Lait de brebis, entier;150;146,4;7,5;7,905;9,495;123,75
Laits;Lait de chèvre, demi0écrémé, UHT;150;82,5;4,905;6,375;4,2;133,2
Laits;Lait de chèvre, entier, cru;150;86,4;4,83;6,015;4,8;133,05
Laits;Lait de chèvre, entier, UHT;150;97,35;4,725;6,525;5,85;131,7
Laits;Lait demi0écrémé, pasteurisé;150;67,5;4,95;6,84;2,31;134,7
Laits;Lait demi0écrémé, UHT;150;69;4,95;7,245;2,295;134,4
Laits;Lait écrémé, pasteurisé;150;50,1;5,1;7,02;0,225;136,5
Laits;Lait écrémé, UHT;150;47,25;4,92;6,48;0,225;136,5
Laits;Lait en poudre, demi0écrémé;150;631,5;43,65;65,85;21,9;5,55
Laits;Lait en poudre, écrémé;150;531;53,7;77,7;1,1235;5,61
Laits;Lait en poudre, entier;150;736,5;41,55;54,3;39,6;5,55
Laits;Lait entier, pasteurisé;150;94,35;4,8;6,93;5,31;131,7
Laits;Lait entier, UHT;150;96,9;4,8;7,005;5,565;131,55
Laits;Lait partiellement écrémé, aromatisé, UHT;150;102,6;4,35;19,35;0,9;124,95
Légumes;Artichaut, cru;120;53,28;3,36;5,904;0,24;102,24
Légumes;Artichaut, cuit;120;51,72;3,48;5,808;0,2724;102,96
Légumes;Asperge, appertisée, égouttée;120;27,6;4,08;1,14;0,6;112,32
Légumes;Asperge, cuite;120;35,64;3,216;3,816;0,384;109,8
Légumes;Aubergine, cuite;120;42,24;0,996;7,512;0,24;107,64
Légumes;Avocat, frais, pulpe;120;202,8;2,16;3,756;19,2;88,8
Légumes;Bette, cuite;120;24,72;2,256;2,436;0,096;111,12
Légumes;Betterave rouge, cuite;120;52,08;2,76;8,604;0,12;104,64
Légumes;Brocoli, cuit;120;34,44;2,52;3,384;0,612;110,28
Légumes;Cardon, cru;120;25,56;0,72;4,428;0,12;111,48
Légumes;Carotte, appertisée, égouttée;120;31,32;0,696;5,052;0,396;110,52
Légumes;Carotte, crue;120;43,56;0,9636;7,92;0,312;107,28
Légumes;Carotte, cuite;120;33,24;0,912;5,928;0,12;109,68
Légumes;Céleri branche, appertisé;120;14,16;0,996;1,536;0,10404;114
Légumes;Céleri branche, cru;120;18,96;1,44;1,392;0,24;113,04
Légumes;Céleri branche, cuit;120;15,84;0,996;1,944;0,10404;114,36
Légumes;Céleri0rave, cru;120;43,92;1,44;6,816;0,36;105,72
Légumes;Céleri0rave, cuit;120;42;1,152;5,472;1,032;108,24
Légumes;Champignon de Paris ou Champignon de couche, cru;120;30;2,16;3,276;0,516;111,48
Légumes;Champignon de Paris ou Champignon de couche, sauté;120;70,8;2,88;0,396;5,124;104,4
Légumes;Champignon de Paris, appertisé;120;26,04;2,88;1,1724;0,4728;111,72
Légumes;Champignon, tout type, appertisé, égoutté;120;23,76;2,844;0,5472;0,4764;111,6
Légumes;Champignon, tout type, cru;120;36,24;3,708;0,252;1,8;111,12
Légumes;Chicorée frisée, crue;120;15,48;1,44;1,14;0,2796;114,24
Légumes;Chou blanc, cru;120;35,04;1,5;5,7;0,24;109,8
Légumes;Chou de Bruxelles, appertisé, égoutté;120;46,2;3,12;3,876;1,2;106,68
Légumes;Chou de Bruxelles, cuit;120;49,44;3,06;8,028;0,132;105,24
Légumes;Chou rouge, cru;120;39,36;1,932;5,988;0,24;108,24
Légumes;Chou rouge, cuit à l'eau;120;27;0,96;3,516;0,36;111,12
Légumes;Chou vert, cuit;120;24,36;1,632;3,6;0,54;113,64
Légumes;Chou0fleur, cru;120;33,84;2,952;2,808;0,372;109,32
Légumes;Chou0fleur, cuit;120;30,24;2,208;3,348;0,354;111,24
Légumes;Coeur de palmier, appertisé, égoutté;120;39,72;3,276;4,08;0,732;107,64
Légumes;Concombre, cru, pulpe;120;14,4;0,708;1,956;0,228;116,4
Légumes;Courgette, pulpe et peau, crue;120;24;1,608;2,988;0,3276;112,92
Légumes;Courgette, pulpe et peau, cuite;120;23,04;1,368;2,808;0,348;112,92
Légumes;Cresson de fontaine, cru;120;25,44;1,92;2,508;0,36;111,72
Légumes;Échalote, crue;120;91,32;2,28;19,08;0,18;95,28
Légumes;Endive, crue;120;20,88;1,236;2,844;0,24;114
Légumes;Endive, cuite;120;21,48;0,72;3,24;0,36;113,76
Légumes;Épinard, cru;120;41,4;3,24;3,84;0,51;109,8
Légumes;Épinard, cuit;120;32,16;3,564;2,244;0,168;108,84
Légumes;Fenouil, cru;120;25,44;1,08;3,612;0,24;111,6
Légumes;Fenouil, cuit à l'eau;120;18,6;1,356;1,956;0,12;113,28
Légumes;Haricot beurre, appertisé, égoutté;120;28,32;1,776;3,36;0,1524;110,52
Légumes;"Haricot mungo germé ou Pousse de ""soja"", appertisé, égoutté";120;34,08;1,92;4,2;0,264;110,04
Légumes;"Haricot mungo germé ou Pousse de ""soja"", frais";120;53,28;4,572;6,192;0,624;106,68
Légumes;Haricot vert, appertisé, égoutté;120;28,68;1,62;3,3;0,12;109,92
Légumes;Haricot vert, cuit;120;39,96;1,62;6,096;0,186;107,64
Légumes;Haricot vert, surgelé, cuit;120;38,4;2,04;5,316;0,12;108
Légumes;Laitue romaine, crue;120;21,84;1,2;1,536;0,72;113,64
Légumes;Laitue, crue;120;16,32;1,608;1,668;0,24;114,96
Légumes;Laitue, cuite;120;14,64;1,44;0;0,168;114
Légumes;Légumes, mélange surgelé;120;152,4;3,996;16,2;6,66;85,56
Légumes;Macédoine de légumes, appertisée, égouttée;120;57,12;2,28;8,052;0,96;104,04
Légumes;Mâche, crue;120;25,08;2,424;1,5;0,474;111,84
Légumes;Maïs doux, appertisé, égoutté;120;123,6;3,54;21,36;1,668;87,48
Légumes;Maïs doux, en épis, cuit;120;119,88;4,092;19,68;1,8;89,4
Légumes;Navet, cuit;120;25,68;0,852;3,72;0,24;111,84
Légumes;Navet, pelé, cru;120;25,32;1,134;2,868;0,312;111,6
Légumes;Oseille, crue;120;25,56;2,4;0,36;0,84;111,6
Légumes;Oseille, cuite à l'eau;120;26,04;2,196;3,516;0,168;112,32
Légumes;Petit pois, appertisé, égoutté;120;104,76;6,432;15,24;0,48;89,64
Légumes;Petit pois, cuit;120;84,96;6,216;9,924;0,666;95,04
Légumes;Petits pois et carottes, appertisés, égouttés;120;64,08;3,336;10,704;0,342;102,12
Légumes;Pissenlit, cru;120;62,4;3,42;8,28;1,02;102,36
Légumes;Poireau, cru;120;35,04;2,496;4,02;0,336;109,08
Légumes;Poireau, cuit;120;29,52;0,972;3,936;0,24;110,52
Légumes;Poivron rouge, cru;120;41,16;1,2;6,876;0,48;108,48
Légumes;Poivron rouge, cuit;120;40,08;1,32;6,888;0,48;107,4
Légumes;Poivron vert, cru;120;25,56;0,96;3,696;0,36;112,68
Légumes;Poivron vert, cuit;120;34,2;1,2;5,268;0,6;111,12
Légumes;Poivron, vert, jaune ou rouge, cru;120;32,04;1,08;5,04;0,36;110,4
Légumes;Poivron, vert, jaune ou rouge, cuit;120;34,68;1,104;5,76;0,48;110,28
Légumes;Potiron, appertisé, égoutté;120;81,72;0,9;17,88;0,228;98,16
Légumes;Potiron, cuit;120;16,32;0,72;2,28;0,12;114,36
Légumes;Pourpier, cru, feuilles;120;19,32;2,1;0,906;0,24;112,68
Légumes;Radis noir, cru;120;21,36;3,36;0,72;0,12;112,32
Légumes;Radis rouge, cru;120;15,72;0,912;2,124;0,12;114,48
Légumes;Salade verte, sans assaisonnement;120;18,6;0,84;2,772;0,12;114,12
Légumes;Salsifis, appertisé, égoutté;120;33,96;1,8;4,392;0,36;109,68
Légumes;Salsifis, cuit;120;55,56;3,276;9;0,162;104,16
Légumes;Scarole, crue;120;21,36;1,68;1,14;0,3;111,48
Légumes;Tomate cerise crue;120;35,28;0,96;6;0,96;110,4
Légumes;Tomate entière, pelée, appertisée, égouttée;120;19,44;1,104;2,316;0,24;113,52
Légumes;Tomate, concentré;120;109,8;3,924;19,56;0,636;86,4
Légumes;Tomate, crue;120;19,68;0,96;2,064;0,312;113,4
Légumes;Tomate, pulpe, appertisée;120;39,84;1,968;5,688;0,336;107,28
Légumes;Tomate, purée;120;38,04;1,98;3,744;1,56;107,4
Légumes;Topinambour, cuit;120;85,44;2,4;15,36;0,84;96,24
Oeufs et dérivés;Blanc d'oeuf, cuit;100;45,7;10,3;0,71;0,18;87,8
Oeufs et dérivés;Jaune d'oeuf, cru;100;345;16;0,5;31;50,9
Oeufs et dérivés;Jaune d'oeuf, cuit;100;339;16,5;0,6;30,1;50,3
Oeufs et dérivés;Oeuf à la coque;100;141;12,3;0,8;9,82;74,6
Oeufs et dérivés;Oeuf au plat, frit, salé;100;205;12,7;2,43;16;67,9
Oeufs et dérivés;Oeuf au plat, sans matière grasse;100;147;13,8;1,01;9,72;74,6
Oeufs et dérivés;Oeuf brouillé;100;204;13,8;0,87;16,2;66,7
Oeufs et dérivés;Oeuf dur;100;134;13,5;0,52;8,62;76,5
Oeufs et dérivés;Oeuf poché;100;138;12,5;0,71;9,47;75,9
Oeufs et dérivés;Oeuf, cru;100;145;12,3;0,7;10,3;75,9
Oeufs et dérivés;Omelette au fromage;100;247;17,9;0,4;19,3;58,5
Oeufs et dérivés;Omelette aux champignons;100;119;8,18;0,7;9,2;79
Oeufs et dérivés;Omelette aux fines herbes;100;143;9,46;0,8;11,2;75,7
Oeufs et dérivés;Omelette aux lardons;100;264;12,5;0,678;23,5;61
Oeufs et dérivés;Omelette nature, avec matière grasse et sel;100;196;13,8;0,895;15,3;69
Pains;Pain au lait, préemballé;50;179;4,35;27,9;5,45;11,15
Pains;Pain complet ou intégral (à la farine T150);50;134,5;4,52;25,3;0,875;15,45
Pains;Pain courant français, 400g ou boule;50;129;3,77;26,15;0,475;17
Pains;Pain de mie, complet;50;129;4,175;21,05;2,16;17,85
Pains;Pain de mie, courant;50;140,5;4,1;24,6;2,35;16,45
Pains;Pain de mie, multicéréale;50;143;4,4;21,65;3,595;16,75
Pains;Pain de seigle, aux raisins;50;130;3,9;21,75;2,425;19
Pains;Pain de seigle, et froment;50;133;4,075;24,9;1,08;15,9
Pains;Pain grillé, domestique;50;170;4,78;34,9;0,58;6,6
Pains;Pain, baguette ou boule, aux céréales et graines, artisanal;50;150,5;4,67;25,45;2,515;13,5
Pains;Pain, baguette ou boule, de campagne;50;136,5;4,445;26,9;0,675;15,35
Pains;Pain, baguette, courante;50;143;4,665;28,3;0,735;13,7
Pains;Pain, baguette, sans sel;50;145;4,195;29,45;0,655;13,45
Pâtes et semoules;Couscous, graine cuite;300;507;11,37;107,1;2,31;173,7
Pâtes et semoules;Gnocchi aux pommes de terre;300;537;15,03;102,9;6,15;166,5
Pâtes et semoules;Pâtes alimentaires au blé complet, cuites;300;432;15;80,4;2,82;189,6
Pâtes et semoules;Pâtes alimentaires aux oeufs, cuites;300;504;17,4;95,4;4,38;177,3
Pâtes et semoules;Pâtes alimentaires aux oeufs, fraîches, cuites;300;504;17,4;96;3,9;177,3
Pâtes et semoules;Pâtes alimentaires cuites;300;453;14,55;89,1;2,259;186,3
Pâtes et semoules;Polenta ou semoule de maïs, cuite;300;185,4;4,2;39,6;0,93;254,1
Pâtes et semoules;Vermicelle de riz, cuite;300;714;14,4;156,6;2,19;122,7
Pâtes et semoules;Vermicelle de soja, cuite;300;182,1;0,27;43,5;0,3;253,2
Pizzas, crêpes et tartes salées;Crêpe fourrée béchamel fromage;300;546;21,93;57,3;24,9;190,5
Pizzas, crêpes et tartes salées;Crêpe fourrée béchamel jambon;300;633;22,5;80,7;24;162,9
Pizzas, crêpes et tartes salées;Crêpe fourrée béchamel jambon fromage;300;492;22,2;53,1;20,55;195,9
Pizzas, crêpes et tartes salées;Crêpe fourrée béchamel jambon fromage champignon;300;435;17,91;43,8;20,16;214,2
Pizzas, crêpes et tartes salées;Flammenkueche ou Tarte flambée aux lardons;300;789;26,79;80,7;39,3;144,3
Pizzas, crêpes et tartes salées;"Pizza ""spéciale""";300;720;23,64;85,2;30,3;147,3
Pizzas, crêpes et tartes salées;Pizza 4 fromages;300;732;33,9;75,9;31,2;145,2
Pizzas, crêpes et tartes salées;Pizza 4 saisons;300;564;21,24;71,4;19,86;175,8
Pizzas, crêpes et tartes salées;Pizza fromage;300;708;27;78,6;29,91;150,9
Pizzas, crêpes et tartes salées;Pizza jambon fromage;300;648;26,7;83,4;20,88;150,9
Pizzas, crêpes et tartes salées;Pizza jambon fromage champignons ou Pizza royale;300;600;31,2;67,5;20,67;164,4
Pizzas, crêpes et tartes salées;Quiche lorraine;300;876;31,5;66,6;56,1;156,3
Pizzas, crêpes et tartes salées;Tarte au fromage;300;789;31,2;59,4;46,8;154,5
Pizzas, crêpes et tartes salées;Tarte aux légumes;300;711;26,1;49,2;44,4;169,2
Pizzas, crêpes et tartes salées;Tarte aux poireaux;300;771;16,32;63,9;48,6;160,2
Pizzas, crêpes et tartes salées;Tarte provençale à la tomate;300;654;16,2;56,7;38,1;173,7
Pizzas, crêpes et tartes salées;Tarte saumon et oseille;300;690;21,24;58,5;40,5;172,2
Pizzas, crêpes et tartes salées;Tourte aux poireaux;300;774;16,14;66;48,3;159
Plats à base de céréales ou pâtes;Cannelloni à la viande;300;462;28,65;46,5;17,19;201,6
Plats à base de céréales ou pâtes;Couscous à la viande;300;456;20,1;51,6;17,34;200,7
Plats à base de céréales ou pâtes;Couscous au poulet;300;474;22,2;52,2;18,63;200,7
Plats à base de céréales ou pâtes;Couscous mouton;300;444;24,9;47,7;16,2;203,1
Plats à base de céréales ou pâtes;Couscous royal à la viande;300;447;24,9;45,3;17,01;202,5
Plats à base de céréales ou pâtes;Gratin de pâtes;300;450;23,7;37,8;22,02;208,5
Plats à base de céréales ou pâtes;Lasagnes à la bolognaise;300;420;20,55;38,7;19,95;214,5
Plats à base de céréales ou pâtes;Paella;300;507;26,55;67,2;13,92;184,8
Plats à base de céréales ou pâtes;Pâtes à la bolognaise (spaghetti, tagliatelles…);300;411;17,73;50,7;14,49;209,7
Plats à base de céréales ou pâtes;Pâtes à la carbonara (spaghetti, tagliatelles…)bi;300;498;18,99;53,1;23,16;201
Plats à base de céréales ou pâtes;Ravioli à la viande, sauce tomate;300;292,2;9;40,5;9,51;232,2
Plats à base de céréales ou pâtes;Ravioli frais au fromage, cuit;300;627;25,8;83,1;19,5;159,3
Plats à base de céréales ou pâtes;Riz cantonnais;300;423;15,6;63,3;11,07;203,1
Plats à base de céréales ou pâtes;Spaghetti, sauce tomate;300;202,2;5,7;37,8;1,2;245,7
Plats à base de fromage;Feuilleté ou Friand au fromage;300;996;21,66;82,5;61,8;117,9
Plats à base de fromage;Feuilleté ou Friand béchamel jambon fromage;300;1041;28,2;92,1;61,5;109,2
Plats à base de fromage;Fondue savoyarde;300;702;48,6;6,93;49,8;179,7
Plats à base de fromage;Fromage pané;300;879;40,5;54;55,2;138,3
Plats à base de fromage;Fromage pané au jambon;300;681;52,2;44,7;32,4;158,4
Plats à base de fromage;Gougère, faite maison;300;1272;42,6;64,2;93,3;90
Plats à base de fromage;Soufflé au fromage;300;594;29,7;22,29;42,6;201,9
Plats à base de fromage;Tartiflette;300;432;14,01;37,5;24,6;216,3
Plats à base de légumes ou légumineuses;Beignet de légumes, fait maison;300;483;12,54;38,7;29,67;209,7
Plats à base de légumes ou légumineuses;Choucroute garnie;300;330;13,8;4,8;27,66;246
Plats à base de légumes ou légumineuses;Choucroute, sans jus;300;94,2;4,5;15,75;0,75;273
Plats à base de légumes ou légumineuses;Escalope végétale ou Steak à base de soja;300;531;49,5;16,47;24;183,6
Plats à base de légumes ou légumineuses;Gratin dauphinois;300;330;9,21;36,9;14,85;228,6
Plats à base de légumes ou légumineuses;Gratin de chou0fleur;300;269,7;12,03;11,76;17,4;246,3
Plats à base de légumes ou légumineuses;Gratin de légumes;300;321;9,6;10,32;25,53;246
Plats à base de légumes ou légumineuses;Ratatouille niçoise;300;216,3;3,6;14,31;14,94;258,9
Plats à base de légumes ou légumineuses;Terrine ou mousse de légumes;300;402;20,4;16,65;27;227,7
Plats à base de légumes ou légumineuses;Tomate à la provençale;300;232,8;5,25;20,76;12,96;250,8
Plats à base de poisson ou produits aquatiques;Accra de morue;300;777;30;53,1;48,3;157,2
Plats à base de poisson ou produits aquatiques;Beignet de crevette;300;1026;25,8;99,3;57,3;105,3
Plats à base de poisson ou produits aquatiques;Bouchée à la reine, au poisson et fruits de mer;300;624;20,28;41,1;41,4;189,3
Plats à base de poisson ou produits aquatiques;Brochette de crevettes;300;330;48,6;4,26;13,11;225
Plats à base de poisson ou produits aquatiques;Brochette de poisson;300;384;54;2,823;17,13;221,4
Plats à base de poisson ou produits aquatiques;Calmar ou Calamar ou encornet, à la romaine (beignet);300;660;31,8;53,4;34,5;168,3
Plats à base de poisson ou produits aquatiques;Calmars ou Calamars au riz;300;303;18,3;33,9;9,9;230,1
Plats à base de poisson ou produits aquatiques;Carpaccio de saumon;300;711;50,7;0;56,4;192,9
Plats à base de poisson ou produits aquatiques;Feuilleté au saumon;300;849;28,8;61,5;51,3;140,7
Plats à base de poisson ou produits aquatiques;Gratin de poisson et purée ou Brandade;300;345;11,4;42,3;13,65;224,7
Plats à base de poisson ou produits aquatiques;Poisson (colin d'Alaska) sauce oseille;300;285;26,7;8,7;15,66;246
Plats à base de poisson ou produits aquatiques;Poisson à la bordelaise;300;516;44,4;12,9;31,2;202,5
Plats à base de poisson ou produits aquatiques;Poisson à la provençale;300;210,9;27,9;8,7;6,9;250,8
Plats à base de poisson ou produits aquatiques;Quenelle de poisson, cuite;300;723;27,48;63,9;39,3;163,8
Plats à base de viande ou volaille;Blanquette de veau;300;345;41,7;9,18;15,3;229,2
Plats à base de viande ou volaille;Blanquette de veau et riz;300;411;23,28;38,1;17,13;213
Plats à base de viande ou volaille;Boeuf aux carottes;300;254,7;30,6;3,24;12,54;239,7
Plats à base de viande ou volaille;Boeuf bourguignon;300;303;20,1;33,3;9,99;232,5
Plats à base de viande ou volaille;Boeuf, boulettes cuites;300;606;45,6;15,24;39,9;191,4
Plats à base de viande ou volaille;Bouchée à la reine, au poulet;300;774;21,3;57;50,4;166,2
Plats à base de viande ou volaille;Brochette d'agneau;300;450;40,5;8,1;28,02;218,4
Plats à base de viande ou volaille;Brochette de boeuf;300;651;56,7;6,72;43,8;187,8
Plats à base de viande ou volaille;Brochette de volaille;300;603;59,1;3,39;39;192,6
Plats à base de viande ou volaille;Brochette mixte de viande;300;627;57,9;5,16;41,4;190,2
Plats à base de viande ou volaille;Burritos ou Fajitas;300;516;24,66;55,5;19,59;185,4
Plats à base de viande ou volaille;Carpaccio de boeuf;300;834;45,6;7,14;69;171
Plats à base de viande ou volaille;Cassoulet, appertisé;300;408;25,74;25,17;20,28;213
Plats à base de viande ou volaille;Chili con carne;300;333;33;26,16;8,79;217,5
Plats à base de viande ou volaille;Coq au vin;300;273,9;26,4;10,71;13,95;245,1
Plats à base de viande ou volaille;Cordon bleu de volaille;300;690;44,1;32,7;42;172,2
Plats à base de viande ou volaille;Feuilleté ou Friand à la viande;300;993;38,1;51;72,6;121,2
Plats à base de viande ou volaille;Gratin d'endives et jambon;300;272,7;17,52;9,96;16,68;245,4
Plats à base de viande ou volaille;Hachis Parmentier;300;435;16,32;27,21;28,77;223,5
Plats à base de viande ou volaille;Légumes farcis (sauf tomate);300;321;12,96;12,84;23,49;243
Plats à base de viande ou volaille;Moussaka;300;414;22,8;13,17;29,25;228
Plats à base de viande ou volaille;Navarin d'agneau;300;417;34,2;10,17;25,83;221,1
Plats à base de viande ou volaille;Nuggets de volaille;300;564;39,3;21,6;34,5;169,5
Plats à base de viande ou volaille;Osso buco à la milanaise;300;306;33;14,91;12,24;232,2
Plats à base de viande ou volaille;Paupiette de veau;300;546;44,7;29,37;26,82;192,3
Plats à base de viande ou volaille;Paupiette de volaille;300;498;43,2;28,41;22,74;197,4
Plats à base de viande ou volaille;Petit salé ou saucisse aux lentilles;300;393;32,4;19,59;18,42;216,3
Plats à base de viande ou volaille;Pot0au0feu;300;216,9;32,7;5,64;6,06;248,7
Plats à base de viande ou volaille;Potée auvergnate;300;265,2;17,4;9,93;16,05;248,4
Plats à base de viande ou volaille;Poulet au curry;300;348;53,7;1,074;13,47;218,4
Plats à base de viande ou volaille;Poulet au curry, avec riz ou semoule, préemballé;300;369;23,73;52,2;5,73;208,2
Plats à base de viande ou volaille;Poulet basquaise au riz;300;303;17,1;39,9;7,8;233,4
Plats à base de viande ou volaille;Poulet basquaise aux pâtes;300;289,8;17,1;36,9;7,8;233,4
Plats à base de viande ou volaille;Tajine de mouton;300;399;38,4;14,64;20,49;219
Plats à base de viande ou volaille;Tajine poulet et semoule;300;390;24,06;57;6,06;204,3
Plats à base de viande ou volaille;Tomate farcie;300;366;20,7;5,04;28,14;239,7
Plats à base de viande ou volaille;Tripes à la mode de Caen;300;312;49,2;7,17;9,72;229,5
Plats à base de viande ou volaille;Veau, escalope panée, cuite;300;813;68,1;38,7;42,3;143,4
Poissons et batraciens non transformés;Anchois commun, cru;120;130,8;23,28;0;4,176;87,72
Poissons et batraciens non transformés;Anguille, cuite au four;120;276;28,44;0;18;71,16
Poissons et batraciens non transformés;Anguille, pochée;120;260,4;24,6;0;18;74,4
Poissons et batraciens non transformés;Bar commun ou Loup, cru;120;115,68;23,16;0;2,556;94,32
Poissons et batraciens non transformés;Bar commun ou Loup, cuit au four;120;184,8;28,32;0;7,932;82,08
Poissons et batraciens non transformés;Brochet, cuit au four;120;115,92;25,8;0;1,416;91,8
Poissons et batraciens non transformés;Cabillaud, cuit à la vapeur;120;99,24;22,32;0;1,11;91,56
